"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1510390863.36171","1568831168.83117","1434345506.77062","1328486401.82258","1391840132.2857","1724545403.17187","1783081344.7976","1881082348.14513","2104878097.12587","1998198332.89725","2159393245.18188","2303914531.76233","2444524287.08468","2722752388.68635","3437836535.7578","4367991087.35688","5444343626.24399","7802810227.22522","9876359204.5479","8373894148.17582","9102915079.33003","10133530952.5427","10278417926.9422","10979508121.6828","11334720299.4423","9606433610.09612","9465980642.18851","10645440262.647","11372553639.5425","13113811338.6941","11560152790.6752",
"American Samoa","ASM","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","528000000","553000000","584000000","591000000","599000000","604000000","648000000","673000000","704000000","748000000","749000000","759000000","806000000","831000000","783000000","784000000","821000000","817000000","",
"Antigua and Barbuda","ATG","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","374592592.592593","446444444.444444","474370370.37037","538370370.37037","539111111.111111","550703703.703704","601037037.037037","622222222.222222","677925925.925926","680962962.962963","729111111.111111","761703703.703704","884370370.37037","1008370370.37037","1172296296.2963","1182518518.51852","906148148.148148","984592592.592592","1009703703.7037","1104740740.74074","1087851851.85185","1115158023.10347","1107565829.96312","1141769499.12155","1105458492.0687","1099227985.61833","1082385894.06404","1088446022.35741",
"Australia","AUS","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","12784186359.0548","13631985664.6881","14138201366.3344","15072236532.6464","16343375517.9751","17873222085.3399","19247396124.986","20921715757.6436","23002575876.3579","24979280994.5123","27785866278.4186","30889237316.6088","35893691588.785","44042280589.3658","60418570375.829","70685511402.4307","77359132736.6696","81805459967.8825","89646965937.2885","99811427922.2992","109642339832.869","130517821897.132","143165618448.637","137721104351.895","145311537764.898","133706374165.836","137215304980.414","143284145050.291","173096623981.374","215107890236.951","225017314351.674","245254689584.805","253324617395.986","240404019111.861","245044621238.326","278793436293.436","302639605462.822","325093911410.236","299925388319.881","296245770146.635","314953212334.359","289207899538.478","298019045625.785","354948747815.958","462688149096.6","521317846940.31","553660527103.923","631914893617.021","778718889883.617","671658813135.032","850186734783.758","1012941930395.35","1121053825531.04","1156923155842.82","1081270540714.22","1017203594309.01","929645508807.687","1001547628026.25","1075951476629.72","1037532541839.51","983885909639.362",
"Austria","AUT","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","10651480285.7899","12422926533.7592","15172431097.0891","20296424204.0902","24362060512.3675","29410477206.289","31918580194.8301","38658675380.9008","45784318203.3545","54189755018.0134","60713814082.1102","53576120615.1719","54166552391.7077","55688392829.784","51780268894.8491","52919495211.4924","74951989184.3173","93792272529.3862","99719460604.0343","98675790951.6381","122942460365.485","127819047731.291","145479171049.336","143401786348.042","152935339115.769","179641367544.698","178113244086.301","158237535235.089","161200500222.321","159578414660.132","143833922977.704","144228975391.499","154439855072.464","191202832957.111","218917792401.291","231154246984.206","243510048927.362","275040131398.85","305928079683.609","296790900250.069","289978933602.549","315909043354.915","300192651688.093","316439427074.966","323538059575.553","276605912667.926","284465107659.092","299640548506.1","324112520412.175","316658287693.254","307460620420.452",
"Azerbaijan","AZE","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","364000000","1504560000","1206264968.15287","2348249688.45587","3166802278.27502","3450257182.28579","4231196691.65159","4186893203.8835","4195127402.77157","4288950928.80919","4695947335.93911","5264840647.5919","5964485600.89549","6959699598.05373","9577233042.31027","14232024239.5991","20484177215.1899","23864269718.8355","26583727884.3758","31251994428.2639","34839867617.1079","38703632887.1893","42380211653.7039","36673531134.1011","27090618537.319","28167731815.0128","30438294117.6471","33062058823.5294","32589705882.3529",
"Burundi","BDI","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","185499996","192499998","204750008","234499994","241499996","153302518.518519","157914285.714286","168016000","173822857.142857","179073142.857143","233997714.285714","248109714.285714","247196571.428571","295224052.18304","351230476.190476","434231111.111111","420781449.275362","484565555.555556","576552222.222222","732755555.555556","925216666.666667","929201111.111111","1035898888.88889","1005771920.38731","924731434.299557","1102818748.03215","1189088039.76526","1056578768.20978","1064298996.40301","1077552518.79723","1192841084.93183","1216172324.84726","1192310456.40245","997193202.635914","1028965790.79644","1080347659.33424","884009691.494632","958376614.162055","935500210.154505","828305770.459224","932592161.599623","930606970.915879","894344321.112497","837576963.385121","982286417.509152","1167383132.70657","1391633734.60994","1492003057.29978","1818006094.00022","1846035358.10067","2091872261.99784","2438257331.05668","2519406258.81442","2789460529.9048","3014243350.30144","3037202787.71216","2990339814.82222","3216105907.56222","3162209392.61439","3168075727.53492","3440524955.29671",
"Belgium","BEL","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","18152097620.0081","20689251706.2742","25989861607.552","33667450838.3358","39369751449.8757","48424846989.1412","52419752351.0972","62233075970.7372","76598679390.2908","89710228398.459","98382243068.0094","84167500000","74446120430.867","70636818145.9566","66551468165.317","69106889054.963","94937381253.3863","117436121015.667","123257436094.35","122619349918.1","152792475857.074","159255483756.645","176330316185.696","168441403917.91","182235987460.815","214173097974.822","209951791530.945","186537550744.249","191341409202.045","189371830385.681","173261654689.515","174376107382.55","189461415396.198","233839954853.273","266963744723.119","278699664220.868","293647848450.634","335160416096.359","378124798593.819","363727841066.963","361535030835.72","395078507558.124","378323937734.403","400485723695.481","406595996515.534","346399817766.422","354680907949.859","373683529067.025","406348250796.437","396769641189.803","385384048775.41",
"Benin","BEN","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","213906329.69419","222187328.065185","227419484.772088","246771978.528784","264125062.442047","286605624.561078","304655655.116608","307083356.199103","317731952.091716","320799630.790204","325928846.311782","334272715.91555","406442394.801204","490315140.437491","537719935.672216","674045197.932556","708081743.708425","756432224.55905","947013930.945302","1191963465.86336","1494471312.42202","1450594198.6851","1200723742.05851","1100736544.58808","1036126195.79926","1088126870.89745","1369172271.39359","1605474296.64141","1663119884.2229","1494668294.524","1828593079.60486","1884368723.70013","1638375444.9581","2147066590.36186","1437376844.33218","1901515201.38757","2029828207.92557","1946531805.70197","2142131935.49066","3315010494.86035","3172537453.49073","3327730699.90285","3753160507.33179","4769604139.05552","5426222532.94584","5913687651.21352","6385944636.9409","7241960708.77299","8784833933.67653","8762911636.78115","8551170476.98088","9522954347.62053","9767289644.46372","10664852476.1304","11045952575.6862","9860273434.86625","9870745148.74137","10555709206.601","11523379493.7826","11339278341.4952","12435849007.7992",
"Burkina Faso","BFA","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","315786758.381387","331867484.356404","358721158.26898","371707393.464274","378682699.308485","386076149.642803","398975005.535692","425164842.892851","432533789.348805","450435115.9368","428139408.349617","444753337.582371","520904996.516254","594598509.932289","618140526.13015","857887305.897125","856232356.492244","1073247407.9055","1387619177.69489","1691370478.59738","1917941905.41822","1781258671.15149","1706996189.36095","1542516456.46686","1394853465.34336","1523792850.95812","2033126935.75247","2310580747.90225","2546542361.84741","2471390911.77251","2933081943.75476","2873442639.29737","3067299404.06163","2951975312.06452","1585596573.84024","2106849520.904","2382429900.82736","2163729063.06207","2556640929.14031","3431946846.27262","3053348723.05015","3191140166.33313","3627063124.64575","4573328765.57129","5353540215.95258","5957345098.15301","6355437316.81602","7231591289.95723","8917874462.78027","8763443540.77688","8699439014.75825","10024561186.6009","10474561510.6502","11585218524.5746","11948789738.6023","10349257296.498","10942456500.5798","11892471059.0612","13059633950.8846","13277877930.9486","",
